,Tickers,Names,Share Price,Weight,Stand Along Risk,Risk Contribution,Countries,Sectors
0,AAPL,Apple,115.82,9%,25.0272537,15.14912875,US,Tech
1,GOOGL,Google,792.45,9%,24.64003693,16.09935149,US,Tech
2,MSFT,Microsoft,62.14,9%,22.95308244,15.18114948,US,Tech
3,AMZN,Amazon,749.87,9%,30.39986498,16.28725528,US,Tech
4,MS,Morgan Stanley,42.25,9%,27.38570335,22.11577391,US,Finance
5,GS,Goldman Sachs,239.45,9%,23.17745096,18.5836018,US,Finance
6,JPM,JPMorgan Chase,85.8152,9%,21.2663508,16.94182895,US,Finance
7,BLK,BlackRock,380.54,9%,21.55070072,17.61396804,US,Finance
8,MYL,Mylan,38.15,9%,37.48231195,20.41580301,US,Health Care
9,PFE,Pfizer,32.48,9%,18.32884252,11.16155945,US,Health Care
10,AET,Aetna,123.758,9%,22.63027313,12.00862665,US,Health Care
