Date,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
12/31/2010,41.9719,297.273,23.6679,180.0,25.122,154.818,35.9212,161.997,21.13,14.0955,28.311
1/7/2011,43.7364,308.519,24.2531,185.49,26.036,157.148,36.9967,160.11,22.32,14.7636,29.842
1/14/2011,45.3447,312.392,23.9987,188.75,26.7561,161.116,38.0734,169.205,22.8,14.7636,31.448
1/21/2011,42.5132,306.211,23.7612,177.42,27.7071,153.014,38.3956,164.114,23.0075,14.7789,30.882
1/28/2011,43.7337,300.786,23.5331,171.14,26.8578,148.935,37.7597,165.142,22.91,14.6107,30.575
2/4/2011,45.087,305.786,23.5492,175.93,27.6069,151.752,37.8021,165.202,23.15,15.6998,34.723
2/11/2011,46.4338,312.553,23.1082,189.25,27.8936,153.437,39.4807,172.911,23.35,15.3154,34.937
2/18/2011,45.6153,315.345,23.0828,186.5,28.6613,154.708,40.693,175.674,23.3375,15.6103,35.53
2/25/2011,45.303,305.316,22.6477,177.24,27.6254,152.019,39.574,173.336,22.61,15.3419,34.64
3/4/2011,46.8436,300.601,22.138,171.67,26.3029,148.541,38.5905,172.806,22.7425,15.9926,35.577
3/11/2011,45.8014,288.634,21.9056,168.07,26.2104,148.246,38.7771,162.612,22.35,15.8381,33.869
3/18/2011,43.0272,280.802,21.1549,161.82,25.3688,147.582,38.7771,157.964,21.66,16.4156,32.58
3/25/2011,45.7428,290.151,21.8544,170.98,25.0913,145.746,38.8788,161.122,22.31,16.5539,34.139
4/1/2011,44.8346,296.187,21.735,180.13,25.2116,147.831,39.2942,173.268,23.23,16.5783,34.964
4/8/2011,43.5984,289.36,22.2383,184.71,25.2023,148.504,39.9249,167.85,23.44,16.6434,34.101
4/15/2011,42.6095,265.607,21.6411,180.01,24.9526,143.125,38.2628,165.402,23.89,16.7003,34.874
4/22/2011,45.633,262.804,21.7691,185.89,24.4902,141.631,38.0838,170.229,24.66,16.0984,36.393
4/29/2011,45.5594,272.314,22.1103,195.81,24.2318,139.324,38.8936,167.713,24.92,17.0583,38.555
5/6/2011,45.1078,267.909,22.0677,197.6,23.3886,138.485,38.3907,167.542,23.9,16.7166,39.002
5/13/2011,44.3063,265.032,21.3511,202.56,22.36,130.513,36.7797,166.258,24.09,17.1823,40.856
5/20/2011,43.6192,262.269,21.0274,198.65,22.082,124.544,36.7627,169.057,23.82,16.9934,41.983
5/27/2011,43.9042,260.702,21.2592,194.13,22.3044,128.259,36.4729,171.762,23.4,17.1906,40.614
6/3/2011,44.6888,261.793,20.5251,188.32,21.4241,125.179,35.433,166.886,22.84,17.1166,40.25
6/10/2011,42.4065,254.999,20.3534,186.53,21.0256,125.725,34.9897,160.154,22.035,16.5171,39.933
6/17/2011,41.6726,242.745,20.8299,186.37,21.1554,126.937,34.7766,161.464,22.265,16.6403,40.26
6/24/2011,42.4651,237.67,20.8643,192.55,20.5809,121.091,33.66,158.922,23.11,16.4924,40.325
7/1/2011,44.6654,260.766,22.3411,209.49,22.0172,126.4,35.6592,169.29,24.97,17.0427,42.142
7/8/2011,46.8059,266.253,23.1138,218.28,20.6643,124.023,34.9389,168.454,24.98,16.5581,41.275
7/15/2011,47.4838,299.1,22.9936,212.87,19.543,120.397,34.2871,159.051,23.57,16.2214,40.541
7/22/2011,51.1767,309.415,23.6376,216.52,22.1469,125.327,36.1824,161.964,23.94,16.4842,40.522
7/29/2011,50.8097,302.137,23.526,222.52,20.6618,124.846,34.6901,153.811,22.78,15.8099,38.792
8/5/2011,48.6159,289.801,22.0492,202.7,18.591,115.791,32.246,139.262,19.26,14.5253,34.987
8/12/2011,49.0544,282.158,21.5512,202.3,15.6844,107.734,30.7966,138.823,19.235,14.8326,34.865
8/19/2011,46.3271,245.698,20.78,178.93,14.858,103.377,29.4588,130.428,17.83,14.6748,33.173
8/26/2011,49.9119,263.685,21.8168,199.27,15.4244,103.368,31.0539,138.754,19.23,15.1233,35.744
9/2/2011,48.6719,262.674,22.292,210.0,14.8208,99.329,29.6989,135.604,19.4,15.3309,36.361
9/9/2011,49.1182,262.679,22.2402,211.39,14.1893,94.866,27.512,131.285,19.36,15.1814,35.529
9/16/2011,52.1136,273.605,23.4325,239.3,15.2758,99.728,28.6698,139.81,20.51,15.0734,38.83
9/23/2011,52.608,263.01,21.6526,223.61,12.7407,88.307,25.3766,128.295,18.29,14.4921,36.137
