,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00129574176842,0.000252030645222,0.000157686924305,0.000317079481684,0.000240991273901,0.000264545064827,0.000183533302678,0.000264128580256,0.000181933393316,9.01188427468e-05,4.12317578277e-05
GOOGL,0.000252030645222,0.00123258501365,0.000398001013026,0.000623525970842,0.00038973689528,0.00026254792728,0.000293460498268,0.000369588755673,0.000192768834816,0.000252038735002,0.000143033208305
MSFT,0.000157686924305,0.000398001013026,0.00109441201645,0.000195590386158,0.000322895157908,0.000281204785737,0.000257937698349,0.000353243369701,0.0003946720867,0.000181319422583,0.000258630528824
AMZN,0.000317079481684,0.000623525970842,0.000195590386158,0.00159971087876,0.00040769347039,0.000324318980533,0.000197805580406,0.000411390422319,0.000184967009813,0.000208863876989,0.000116820790545
MS,0.000240991273901,0.00038973689528,0.000322895157908,0.00040769347039,0.00124792042101,0.000839087098077,0.000625783875432,0.000654350736593,0.000385915848948,0.000220493302866,0.00028662562996
GS,0.000264545064827,0.00026254792728,0.000281204785737,0.000324318980533,0.000839087098077,0.000817210559896,0.000567993576111,0.000569243690361,0.000382932471966,0.000209291669523,0.000281180487354
JPM,0.000183533302678,0.000293460498268,0.000257937698349,0.000197805580406,0.000625783875432,0.000567993576111,0.000660968809347,0.000428173256687,0.0003062908635,0.000248356378146,0.00029908949524
BLK,0.000264128580256,0.000369588755673,0.000353243369701,0.000411390422319,0.000654350736593,0.000569243690361,0.000428173256687,0.000792713557059,0.000316236704614,0.00028326822687,0.000273378830612
MYL,0.000181933393316,0.000192768834816,0.0003946720867,0.000184967009813,0.000385915848948,0.000382932471966,0.0003062908635,0.000316236704614,0.00171451163142,0.000290491562802,0.000324202107747
PFE,9.01188427468e-05,0.000252038735002,0.000181319422583,0.000208863876989,0.000220493302866,0.000209291669523,0.000248356378146,0.00028326822687,0.000290491562802,0.000526170591133,0.000184836205385
AET,4.12317578277e-05,0.000143033208305,0.000258630528824,0.000116820790545,0.00028662562996,0.000281180487354,0.00029908949524,0.000273378830612,0.000324202107747,0.000184836205385,0.000770298290038
